Item,Qty,Reference(s),Value,Digikey,Mouser
1,19,"C101, C214, C215, C216, C217, C218, C219, C220, C221, C230, C231, C232, C233, C307, C308, C309, C310, C311, C330",1000pF,,581-SR211A102JAR
2,34,"C102, C103, C110, C111, C201, C204, C206, C207, C208, C209, C211, C223, C224, C225, C226, C234, C235, C236, C237, C239, C240, C301, C302, C314, C316, C317, C318, C319, C320, C321, C324, C326, C327, C328",0.1uF,,581-SR215C104K
3,1,C104,470uF,,80-ESL477M025AH9AA
4,1,C109,4700uF,,667-EEU-FS1C472S
5,1,C122,220uF,,647-UVY1E221MED1TD
6,1,C210,Wire jumper,,
7,1,C213,100uF,,647-UVY1E101MDD1TD
8,1,C222,DNI,,
9,2,"C227, C228",22uF,,647-UPW1A220MDD6TP
10,1,C229,0.01uF,,581-SR211C103KARTR1
11,1,C238,10uF,,647-UPW1A220MDD6TP
12,4,"C303, C315, C331, C332",47pF,,581-SR211A470JAR
13,3,"C304, C305, C306",4700pF,,810-FG28C0G2A472JRT6
14,2,"C312, C313",0.01uF,,810-FG28C0G2A103JRT6
15,1,C323,4.7uF 16V,,647-UKT1E4R7MDD1TD
16,1,C325,220pF,,581-SR211A221JAATR
17,1,C333,DNI,,
18,1,D101,1N5819,,511-1N5819
19,3,"D201, D301, D302",1N4148,,512-1N4148
20,1,DZ102,13V 400mW,,512-1N4743ATR
21,1,FB201,Ferrite_Bead_Small,,623-2743007112
22,2,"FB202, FB203",96Ω @ 25MHz,,623-2743007112
23,1,J101,5V INPUT,,490-PJ-002B
24,1,J201,CART,S3311-ND,587-395-036
25,1,J202,LEFT JOYSTICK,,806-K22X-E9P-N
26,1,J203,RIGHT JOYSTICK,,806-K22X-E9P-N
27,1,J301,Z,,
28,1,J302,SJ1-353XN,,490-SJ1-3533NG
29,1,J303,X,,
30,1,J304,Y,,
31,1,JP301,Z POL,,
32,1,JP302,Y POL,,
33,1,JP303,X POL,,
34,1,L101,220uH,,851-RCR875DNP-221K
35,4,"MNT1, MNT2, MNT3, MNT4",MountingHole_Pad,,
36,2,"Q301, Q302",2N3906,,512-2N3906TA
37,1,Q303,2N3904,,512-2N3904TA
38,1,R101,0.5,,660-CF1/4CR50J
39,3,"R102, R314, R315",2.2K,,603-CFR-25JR-522K2
40,2,"R103, R201",22K,,603-CFR-25JR-522K
41,2,"R106, R208",100,,603-CFR-25JR-52100R
42,8,"R202, R203, R204, R205, R206, R207, R322, R324",3.3K,,603-CFR-25JR-523K3
43,2,"R209, R210",DNI,,
44,6,"R214, R215, R216, R217, R226, R227",33,,603-CFR-25JR-5233R
45,12,"R218, R219, R220, R221, R222, R223, R224, R225, R306, R308, R310, R312",680,,603-CFR-25JR-52-680R
46,3,"R301, R304, R305",2.49K 1%,,603-MFR-25FRF522K49
47,1,R302,5K,,531-PT10H-5K-S
48,1,R303,2.61K 1%,,603-MFR-25FRF52-2K61
49,4,"R307, R309, R311, R313",330K,,603-CFR-25JR-52-330K
50,2,"R316, R319",10K 1%,,603-MFR-25FRF5210K
51,2,"R317, R320",220,,603-CFR-25JR-52220R
52,10,"R318, R321, R338, R339, R347, R348, R349, R350, R351, R353",4.7K,,603-CFR-25JR-524K7
53,2,"R323, R325",15K,,603-CFR-25JR-5215K
54,6,"R326, R333, R335, R352, R354, R355",10K,,531-PT10H-10K-S
55,4,"R327, R344, R345, R346",33K,,603-CFR-25JR-52-33K
56,2,"R332, R334",3.3M,,603-MFR-25FTE52-3M3
57,1,R336,1M,,603-CFR-25JR-521M
58,1,R340,10K,,603-CFR-25JR-5210K
59,3,"R341, R342, R343",1K,,603-CFR-25JR-521K
60,1,SW101,POWER,,633-CS12ANW03
61,1,SW201,SW_TACT,,612-TL1105B
62,1,U101,MC34063EBN,,511-MC34063EBN
63,1,U102,LM7905_TO220,,926-LM7905CT/NOPB
64,1,U201,AT28C64B,,556-AT28C64B15PU
65,1,U202,74LS00,,595-SN74LS00N
66,1,U203,74LS32,,595-SN74LS32N
67,1,U204,AS6C62256,,913-AS6C62256-55PCN
68,1,U205,AY3-8910,,
69,1,U206,MC68A09E or MC68B09E,,
70,1,U207,W65C22S6TPG,,955-W65C22S6TPG-14
71,1,U208,AY3-8912,,
72,1,U209,74LS112,,595-SN74LS112AN
73,1,U301,MC1408_DIP,,926-DAC0808LCN/NOPB
74,1,U302,CD4052B,,595-CD4052BE
75,1,U303,LF347,,595-LF347N
76,1,U304,LF353,,595-LF353P
77,1,U305,4066,,595-CD4066BE
78,1,U306,LM6134,,926-LM6134BIN/NOPB
79,1,X201,6MHz,,774-MXO45HS-3C-6.0
80,1,Y201,DNI,,
